start,end,text
4.96,5.12,On
5.12,5.2,a
5.2,5.92,warm
5.92,6.48,summer's
6.48,6.72,eve
7.68,7.84,on
7.84,7.84,a
7.84,8.64,train
8.64,8.96,bound
8.96,9.12,for
9.12,9.68,nowhere
9.68,10.56,I
10.56,10.8,met
10.8,11.2,up
11.2,11.52,with
11.52,11.6,a
11.68,12.4,gambler
12.96,13.12,We
13.12,13.2,were
13.2,13.52,both
13.6,13.84,too
13.92,14.24,tired
14.24,14.32,to
14.32,14.8,sleep
15.44,15.6,so
15.6,15.92,we
15.92,16.32,took
16.32,16.96,turns
16.96,16.96,of
16.96,17.52,staring
18.16,18.32,out
18.32,18.4,the
18.4,19.2,window
19.2,19.36,at
19.6,20.0,the
21.04,21.04,darkness
21.04,21.04,to
21.04,21.6,boredom
21.6,22.08,or
22.24,22.48,to
22.48,22.56,curses
23.92,24.0,And
24.0,24.16,he
24.16,24.72,began
24.72,24.72,to
24.72,25.12,speak
25.68,25.76,He
25.76,26.24,said
26.24,26.48,Son
26.48,26.96,I
27.12,27.36,need
27.36,27.52,a
27.52,27.84,light
28.8,28.96,out
28.96,28.96,of
29.12,29.68,reading
29.76,30.24,people's
30.24,30.88,faces
30.88,30.96,and
31.76,32.48,knowing
32.48,32.8,what
32.8,32.88,the
32.88,33.52,cards
33.52,33.6,were
34.16,34.32,by
34.32,34.4,the
34.4,34.72,way
34.72,34.88,they
34.88,35.2,held
35.28,35.84,their
35.84,36.4,eyes
36.8,36.96,So
36.96,36.96,if
37.2,37.28,you
37.28,37.84,don't
37.84,38.16,mind
38.16,38.24,me
38.24,38.56,saying
39.52,39.6,I
39.6,39.76,can
39.76,40.24,see
40.32,40.88,right
40.88,40.96,out
40.96,40.96,of
40.96,41.36,eyes
42.24,42.4,for
42.4,42.4,a
42.4,43.2,taste
43.2,43.52,of
43.52,43.84,your
43.84,44.16,whiskey
45.12,45.12,I'll
45.12,45.36,give
45.36,45.76,you
45.76,46.24,some
