start,end,text
8.64,8.96,My
9.04,9.36,funny
9.36,11.08,Valentine
12.8,14.52,sweet
16.24,16.56,comic
16.8,16.8,Valentine
17.84,22.48,you
23.44,23.6,make
23.6,23.84,me
23.84,24.24,smile
24.24,24.24,with
24.24,24.24,my
24.24,24.24,heart
24.24,24.24,Your
24.24,24.24,looks
24.24,24.24,are
24.24,24.24,laughable
24.24,24.24,unphotographable
24.24,24.24,yet
24.24,24.24,you're
24.24,24.24,my
24.24,24.24,favorite
24.24,24.24,work
24.24,24.24,of
24.24,24.24,art
24.24,24.24,Is
24.24,24.24,your
24.24,24.24,figure
24.24,24.24,less
24.24,24.24,than
24.24,24.24,Greek
24.24,24.24,Is
24.24,24.32,your
24.32,26.24,mouth
30.64,35.04,a
39.44,43.84,little
58.44,73.04,weak
87.64,102.24,when
102.24,102.8,you
102.8,102.88,open
102.96,103.04,it
103.12,103.2,to
103.2,103.2,speak
103.2,103.2,Are
103.2,103.2,you
103.2,103.2,small
103.2,103.2,Don't
103.2,103.2,change
103.2,103.2,a
103.2,103.2,hair
103.2,103.2,for
103.2,103.2,me
103.2,103.2,not
103.2,103.2,if
103.2,103.2,you
103.2,103.2,care
103.2,103.2,for
103.2,103.2,me
103.2,103.2,Stay
103.2,103.52,little
137.92,137.986,Valentine
138.053,138.12,stay
138.186,138.253,Each
138.32,138.32,day
138.32,138.32,Valentines
138.32,138.32,days
138.32,138.8,You're
139.28,139.76,my
140.24,140.72,favorite
140.72,140.72,work
140.72,140.72,of
140.72,140.72,art
140.72,140.72,but
140.72,140.72,don't
140.72,140.72,change
142.4,142.88,a
142.88,142.88,hair
142.88,142.88,for
142.88,142.88,me
184.849,188.209,Not
188.209,188.449,if
188.449,188.769,you
188.769,189.249,care
189.921,190.593,for
191.265,191.937,me
192.609,200.529,Stay
200.537,200.546,little
200.555,200.564,Valentine
200.573,200.582,Won't
200.591,200.6,you
200.609,202.769,stay
202.769,210.689,Each
210.689,210.689,day
212.929,213.169,is
213.169,213.809,Valentine's
213.809,217.409,Day
