start,end,text
10.32,10.32,Lady
10.32,10.32,I'm
10.32,10.4,your
10.4,11.2,knight
11.2,11.6,in
11.6,12.08,shining
12.32,12.96,armor
13.28,13.52,and
13.52,13.84,I
13.84,14.08,love
16.88,17.04,you
17.04,17.04,You
17.04,17.28,have
17.44,18.0,made
18.0,18.32,me
18.4,18.56,what
18.56,19.04,I
19.84,21.2,am
21.2,21.2,and
21.76,21.76,I
22.08,22.08,am
22.4,22.56,yours
22.56,22.56,My
22.56,22.56,love
22.56,22.56,there's
22.56,22.56,so
22.56,22.88,many
33.6,33.6,ways
34.24,34.373,I
34.506,34.64,want
34.773,34.906,to
35.04,35.6,say
35.6,36.16,I
36.16,36.4,love
36.96,37.52,you
38.08,38.64,Let
39.2,39.76,me
40.32,40.32,hold
40.32,40.32,you
40.4,40.4,in
40.96,41.76,my
41.76,41.76,arms
42.24,42.674,forevermore
43.108,43.542,You
43.977,44.411,have
44.845,45.28,gone
45.344,45.408,and
45.472,45.536,made
45.6,45.6,me
56.32,56.64,such
56.64,56.64,a
56.64,56.96,fool
56.96,56.96,And
56.96,56.96,I
56.96,56.96,am
60.48,60.72,so
61.04,61.68,lost
61.68,61.68,in
62.4,62.4,your
62.64,63.467,love
64.295,65.123,And
65.95,66.778,oh
67.606,68.433,we'll
69.261,70.089,be
70.916,71.744,loved
72.572,73.4,together
74.227,75.055,Won't
75.883,76.71,you
77.538,78.366,be
79.193,80.021,late
80.849,81.676,in
82.504,83.332,my
84.16,84.422,soul
84.685,84.948,Lady
85.211,85.474,for
85.737,86.0,so
86.0,86.88,many
86.88,87.2,years
87.2,87.28,I
87.52,87.76,thought
87.76,87.92,I'd
88.32,88.56,never
89.04,89.52,find
89.6,89.76,you
89.76,89.76,You
89.76,90.08,have
90.08,90.08,come
90.64,90.64,into
90.64,91.44,my
92.24,92.24,life
92.24,92.24,and
92.24,92.24,made
92.24,92.24,me
92.24,92.24,whole
92.88,92.88,Forever
93.12,93.52,let
93.52,93.52,me
93.52,93.52,wait
93.52,93.68,to
93.68,93.68,see
93.68,93.68,you
93.68,93.68,reach
93.68,93.68,in
94.88,94.88,every
94.88,94.88,moment
94.88,94.88,Let
94.88,94.88,me
94.88,94.88,hear
94.88,94.88,you
94.88,94.88,whisper
94.88,94.88,softly
94.88,94.88,in
94.88,94.88,my
94.88,94.88,ear
94.88,94.88,And
94.88,94.88,in
94.88,94.88,my
94.88,94.88,eyes
94.88,94.88,I
94.88,94.88,see
94.88,94.88,no
94.88,94.88,one
94.88,94.88,else
94.88,94.88,but
94.88,94.88,you
94.88,94.88,There's
94.88,94.88,no
94.88,94.88,other
94.88,94.88,love
94.88,94.88,like
94.88,94.88,our
94.88,94.88,love
94.88,94.88,And
94.88,94.88,yes
94.88,94.88,oh
94.88,94.88,yes
94.88,94.88,I'll
94.88,94.88,always
94.88,94.88,want
94.88,94.88,you
94.88,94.88,near
94.88,94.88,me
94.88,94.88,I've
94.88,96.96,waited
96.96,98.96,for
98.96,98.96,you
98.96,98.96,for
99.56,100.16,so
100.76,101.36,long
101.36,101.36,And
101.36,101.36,lady
101.36,101.36,your
101.58,101.8,love's
102.02,102.24,the
102.24,102.24,only
102.24,102.24,love
102.24,102.24,I
102.24,102.24,need
102.24,102.24,And
102.24,102.24,I
102.24,102.24,need
102.24,102.24,you
102.24,102.24,I
102.24,102.24,swear
102.24,102.24,I
102.24,102.24,want
102.24,102.24,you
102.24,102.24,to
102.24,102.24,be
102.24,102.24,here
182.637,182.637,Cause
182.637,182.637,my
182.637,182.637,love
182.637,182.637,there
182.637,182.637,is
182.637,182.637,something
182.637,182.637,I
182.637,182.637,want
182.637,182.637,you
182.637,182.637,to
182.637,182.637,know
182.637,182.637,You're
182.637,182.637,the
182.637,182.637,love
182.637,182.637,of
182.637,182.637,my
182.637,182.637,life
182.637,182.637,You're
182.637,182.637,my
182.637,207.117,lady
