start,end,text
0.64,0.64,In
0.64,0.64,a
0.64,11.36,bar
11.36,11.92,in
12.0,12.56,Toledo
12.56,13.76,across
13.76,14.48,from
14.48,14.56,the
14.56,15.12,depot
15.76,15.92,on
15.92,15.92,a
16.0,16.24,bar
16.24,16.96,stool
16.96,17.12,she
17.12,17.36,took
17.44,17.6,off
18.08,18.16,her
18.16,18.48,ring
18.48,18.56,I
20.88,21.2,thought
21.2,21.84,I'd
21.84,21.92,get
22.08,22.48,closer
22.48,23.52,so
23.52,23.68,I
23.76,24.24,walked
24.24,24.64,on
24.64,24.64,over
24.64,25.92,I
25.92,26.24,sat
26.4,27.2,down
27.2,27.36,and
27.36,27.76,asked
27.76,27.84,her
27.84,28.16,her
28.16,28.64,name
28.64,28.96,When
29.04,31.04,the
31.04,31.04,drinks
31.52,31.52,finally
32.16,32.4,hit
32.4,32.4,her
33.44,33.6,she
33.6,33.92,said
33.92,34.32,I'm
34.32,34.48,no
34.56,35.28,quitter
35.76,35.92,but
35.92,36.08,I
36.08,36.8,finally
36.96,37.2,quit
37.2,38.24,living
38.24,38.64,on
38.64,39.76,dreams
39.76,41.2,I'm
41.2,42.16,hungry
42.24,42.48,for
42.48,43.36,laughter
43.36,43.36,and
43.76,44.16,here
44.56,44.56,forever
44.96,44.96,after
46.24,46.24,I'm
46.32,46.72,after
47.12,47.44,whatever
47.536,47.632,the
47.728,47.824,other
47.92,47.92,life
48.64,48.64,brings
48.96,49.04,In
49.04,49.28,the
49.28,49.28,mirror
50.08,50.32,I
50.46,50.6,saw
50.74,50.88,him
52.48,52.48,and
52.48,55.44,I
55.72,56.0,closely
56.28,56.56,watched
56.64,56.64,him
58.16,58.16,Thought
58.16,58.56,how
58.56,58.56,he
58.8,59.2,looked
59.28,59.28,out
59.28,59.84,of
60.0,60.16,place
60.32,60.48,He
60.64,60.8,came
60.8,60.8,to
60.8,60.8,the
63.44,64.48,woman
64.48,65.2,who
65.2,65.44,sat
65.6,66.0,there
66.08,66.64,beside
66.64,66.96,me
66.96,67.76,He
67.76,68.0,had
68.0,68.24,a
68.24,68.96,strange
68.96,69.12,look
69.28,69.92,on
69.92,70.08,his
70.16,70.16,face
70.24,70.32,The
70.32,70.32,big
70.32,70.88,hands
70.928,70.976,were
71.024,71.072,calloused
71.12,71.36,He
71.36,71.68,looked
73.04,73.04,like
73.2,73.2,a
73.2,73.44,man
74.08,74.08,For
74.4,77.84,a
77.84,78.64,minute
78.64,78.72,I
78.72,79.04,thought
79.04,79.68,I
79.92,80.08,was
80.08,80.4,dead
80.4,80.56,But
80.56,80.56,he
80.56,80.56,started
80.56,81.2,shaking
82.32,83.44,His
84.56,85.68,big
85.68,86.48,heart
86.48,86.56,was
86.56,86.56,breaking
87.04,87.28,He
87.92,88.08,turned
88.08,88.08,to
88.08,88.8,the
88.8,88.88,woman
89.12,89.12,and
90.24,90.24,said
90.4,90.4,You
90.64,90.64,picked
90.88,90.88,a
90.96,90.96,fine
91.44,91.44,time
91.44,91.44,to
92.24,92.4,leave
92.56,92.72,me
92.88,93.04,Lucy
93.12,93.12,With
93.12,93.12,four
93.12,93.12,hungry
93.12,93.12,children
93.12,93.36,and
93.36,93.36,a
93.406,93.453,crop
93.5,93.546,in
93.593,93.64,the
93.686,93.733,field
93.78,93.826,I've
93.873,93.92,had
93.92,93.92,some
93.92,93.92,bad
93.92,93.92,times
93.92,93.92,lived
93.92,93.92,through
93.92,93.936,some
93.952,93.968,sad
93.984,94.0,times
94.0,94.0,But
94.0,94.0,this
94.72,94.72,time
96.32,98.0,I'm
100.24,101.36,hurting
101.36,101.36,on
101.36,101.36,you
101.36,101.36,You
101.36,101.36,picked
101.36,101.36,a
101.36,101.36,fine
101.36,101.36,time
101.36,101.36,to
101.36,101.36,leave
101.36,101.36,me
101.36,101.36,Lucy
101.52,101.52,After
101.76,101.76,he
102.08,102.08,left
102.08,102.08,us
102.08,102.08,I
102.08,102.08,ordered
102.08,102.08,more
102.08,102.08,whiskey
102.08,102.08,I
102.08,102.08,thought
102.08,102.08,I
102.08,102.08,should
102.08,102.08,make
102.08,102.08,him
102.08,102.08,look
102.08,102.08,small
102.08,102.08,From
102.08,102.08,the
102.08,102.08,lights
102.08,102.08,of
102.08,102.08,the
102.08,102.08,bar
102.08,102.08,room
102.08,102.08,to
102.08,102.08,the
102.08,102.08,red
102.08,102.08,hotel
102.08,102.08,room
102.08,102.08,we
102.08,102.08,walked
102.08,102.08,without
102.08,102.08,talking
102.08,102.08,at
102.08,102.08,all
102.08,102.08,She
102.08,102.08,was
102.08,102.08,a
102.08,102.08,beauty
102.08,102.08,but
102.08,102.08,when
102.08,102.08,she
102.08,102.08,came
102.08,102.08,to
102.08,102.08,me
102.08,102.08,she
102.08,102.08,must
102.08,102.08,have
102.08,102.08,thought
102.08,102.08,I'd
102.08,102.08,lost
102.08,102.08,my
102.08,102.08,mind
102.08,102.08,I
102.08,102.08,couldn't
102.08,102.08,hold
102.08,102.08,her
102.08,102.08,The
102.08,102.08,words
102.08,102.08,that
102.08,102.08,he
102.08,102.08,told
102.08,102.08,her
102.08,102.08,kept
102.08,102.08,coming
102.08,102.08,back
102.08,102.08,time
102.08,102.08,after
102.08,102.08,time
102.08,102.08,You
102.08,102.08,picked
102.08,102.08,a
102.08,102.08,fine
102.08,102.08,time
102.089,102.098,to
102.108,102.117,leave
102.127,102.136,me
102.145,102.155,Lucy
102.164,102.174,With
102.183,102.192,four
102.202,102.211,hungry
102.221,102.23,children
102.24,102.24,and
102.24,102.24,a
102.24,102.24,crop
102.24,102.24,in
102.24,102.24,the
102.24,102.24,field
102.24,102.24,I've
102.24,102.24,had
102.24,102.24,some
102.24,102.24,bad
102.24,102.24,times
102.24,102.24,lived
102.24,102.24,through
102.24,102.24,some
102.24,102.24,sad
102.24,102.24,times
102.24,102.24,But
102.24,102.24,this
102.24,102.24,time
102.24,102.24,I'm
102.56,103.28,hurting
103.28,103.28,on
103.28,103.28,you
182.545,182.545,You
183.585,183.905,picked
183.905,183.985,a
183.985,184.385,fine
184.465,185.105,time
185.105,185.265,to
185.265,185.745,leave
185.745,186.065,me
186.065,187.025,Lucille
187.025,188.625,You
188.625,188.945,picked
188.945,189.025,a
189.025,189.505,fine
189.505,189.985,time
189.985,190.065,to
190.065,190.705,leave
190.785,191.185,me
191.185,191.745,Lucille
194.145,194.625,Four
194.625,195.345,hungry
195.425,195.425,children
196.305,196.625,and
196.625,196.625,a
196.625,197.185,crop
197.185,197.585,in
197.585,197.825,the
197.905,197.905,field
198.385,198.385,I've
201.585,201.585,had
201.585,201.585,some
201.585,201.585,bad
201.585,201.585,times
201.585,201.585,lived
201.585,201.745,through
201.745,201.745,some
201.745,201.745,sad
202.145,202.145,times
202.225,202.625,but
202.625,203.985,this
203.985,203.985,time
203.985,203.985,your
203.985,203.985,hurt
203.985,203.985,won't
203.985,203.985,heal
203.985,203.985,You
203.985,204.145,picked
204.145,204.225,a
204.225,206.705,fine
206.914,207.123,time
207.332,207.541,to
207.751,207.96,leave
208.169,208.378,me
208.588,208.797,Lucille
209.006,209.215,You
209.425,210.465,picked
210.481,210.497,a
210.513,210.529,fine
210.545,211.505,time
212.465,213.425,to
214.385,215.345,leave
215.345,215.345,me
215.345,215.345,Lucille
