start,end,text
10.56,10.64,All
10.96,11.04,my
11.04,11.52,life
11.52,12.0,was
12.0,12.08,a
12.32,12.96,paper
13.36,13.76,once
14.16,14.56,plain
14.96,15.36,pure
15.76,15.76,and
15.76,16.128,white
16.496,16.864,Till
17.232,17.6,you
17.6,17.6,moved
17.92,17.92,with
19.84,19.84,your
24.24,24.24,pen
24.48,25.2,changing
25.2,25.6,moods
25.6,26.0,now
26.0,26.32,and
26.32,26.96,then
27.36,27.76,till
27.76,28.0,the
28.16,28.88,balance
28.88,29.04,was
29.2,29.92,right
29.92,29.92,Then
29.92,31.68,you
32.64,34.32,added
34.32,34.56,some
34.8,35.04,music
35.04,35.04,every
35.04,35.04,note
35.04,35.04,was
35.04,35.04,in
35.04,35.04,place
35.04,35.04,Then
37.2,39.36,anybody
41.52,43.68,could
45.84,46.64,see
46.64,47.44,all
47.44,47.6,the
47.68,48.56,changes
48.56,48.88,in
48.88,49.44,me
49.44,50.08,by
50.32,50.48,the
50.48,51.04,look
51.04,51.04,on
51.36,51.52,my
51.52,51.72,face
51.92,52.12,And
52.32,53.269,you
54.219,55.169,decorated
56.118,57.068,my
58.018,58.967,life
59.917,60.867,created
61.816,62.766,a
63.716,64.665,world
65.615,66.565,where
67.514,68.464,dreams
69.414,70.363,are
71.313,72.263,a
73.212,74.162,part
75.112,76.061,And
77.011,77.961,you
78.91,79.86,decorated
80.81,81.76,my
82.709,83.659,life
84.609,85.558,by
86.508,87.458,painting
88.407,89.357,colors
90.307,91.256,all
92.206,93.156,over
94.105,95.055,my
96.005,96.954,heart
97.904,98.854,You
99.803,100.753,decorated
101.703,102.652,my
103.602,104.552,life
105.501,106.451,like
107.401,108.35,a
109.3,110.25,rhyme
111.2,111.36,with
111.92,112.48,no
113.04,113.6,reason
114.16,114.72,in
115.28,115.84,an
116.4,116.96,unfinished
117.52,118.14,song
118.76,119.38,There
120.0,122.16,was
122.16,122.56,no
122.56,123.84,harmony
124.32,124.72,life
124.72,124.88,meant
125.04,125.68,nothing
127.04,127.92,to
127.92,127.92,me
127.92,127.92,until
127.92,128.16,you
128.32,128.64,came
128.742,128.845,along
128.948,129.051,And
129.154,129.257,you
129.36,129.44,brought
129.44,129.52,out
129.52,130.16,the
130.16,130.16,colors
130.16,130.16,what
130.16,130.16,a
130.16,130.16,gentle
130.16,130.16,surprise
130.16,130.16,Now
130.16,130.16,I'm
140.8,140.8,able
140.8,140.8,to
140.8,140.8,see
140.8,140.8,all
140.8,140.8,the
140.8,140.8,things
140.8,140.8,life
140.8,140.8,can
140.8,140.88,be
140.88,140.88,shining
140.88,140.88,soft
140.88,140.88,in
140.88,140.88,your
140.88,140.88,eyes
140.88,140.88,And
140.88,140.88,you
140.88,140.88,decorated
140.88,140.88,my
140.88,140.88,life
140.88,140.88,created
140.88,140.88,a
140.88,140.88,world
140.88,140.88,where
141.32,141.76,dreams
142.2,142.64,are
142.68,142.72,a
142.76,142.8,part
142.84,142.88,And
142.88,142.88,you
142.88,142.88,decorated
142.88,142.88,my
142.88,142.88,life
180.675,181.635,Decorated
181.715,181.795,my
181.795,181.795,life
182.755,182.755,by
186.435,187.075,painting
187.075,187.395,your
187.395,187.395,love
187.395,187.555,all
191.715,192.355,over
192.355,192.755,my
192.835,192.835,heart
196.275,196.275,You
196.515,197.875,decorated
197.875,198.355,my
198.355,199.635,life
