start,end,text
8.08,8.08,Just
8.08,8.08,look
8.08,8.08,at
8.88,9.2,you
10.16,12.16,sitting
12.16,12.72,there
12.72,12.96,You
15.12,15.84,never
16.14,16.44,looked
16.74,17.04,better
17.04,17.84,than
17.84,17.84,tonight
17.84,17.84,and
17.84,19.6,it'd
19.6,19.84,be
19.84,21.2,so
21.2,23.52,easy
23.52,23.52,to
23.68,23.68,tell
23.76,23.76,you
23.76,24.16,I'd
24.16,24.16,stay
26.88,27.04,like
27.04,27.2,I've
27.2,27.84,done
27.84,28.0,so
28.0,28.08,many
28.08,28.08,times
28.4,28.4,I
28.4,28.72,was
28.72,29.12,sure
32.56,33.03,this
33.5,33.97,would
34.44,34.91,be
35.38,35.85,the
36.32,36.32,night
36.32,36.32,You
36.32,36.32,close
36.32,36.32,the
36.32,36.32,door
36.32,36.32,and
36.32,36.32,want
36.32,36.32,to
36.32,36.32,stay
36.32,36.32,with
36.32,36.32,me
36.32,36.32,and
36.32,36.32,it'd
36.32,36.32,be
36.32,36.32,so
36.32,36.32,easy
36.32,36.32,to
36.32,36.32,tell
36.32,36.32,you
36.32,36.32,I'd
36.32,36.32,stay
36.32,36.32,like
36.32,36.32,I've
36.32,36.32,done
36.32,36.32,so
36.32,36.32,many
36.32,36.32,times
36.32,36.32,Don't
36.32,37.18,fall
38.04,38.9,in
39.76,40.16,love
40.2,40.24,with
40.28,40.32,a
40.36,40.4,dreamer
40.4,40.4,'cause
40.4,40.4,he'll
43.04,43.04,always
43.12,43.136,take
43.152,43.168,you
43.184,43.2,in
43.2,43.28,Just
43.28,43.52,when
44.0,45.68,you
45.68,45.92,think
45.92,46.048,you've
46.176,46.304,really
46.432,46.56,changed
46.56,46.56,him
46.56,46.56,he'll
46.56,46.56,leave
46.56,46.56,you
46.56,46.56,again
46.56,46.56,Don't
46.56,46.56,fall
46.56,46.56,in
46.56,46.56,love
46.56,46.56,with
46.56,46.56,a
46.56,46.56,dreamer
46.56,46.56,'cause
46.56,46.56,you
46.56,46.56,break
46.56,46.56,you
46.56,46.56,every
46.56,46.56,time
46.56,46.56,Oh
46.56,46.56,just
46.56,46.56,hold
46.56,46.56,on
46.56,46.56,before
46.56,46.56,we
47.84,49.04,say
50.096,51.152,goodbye
52.208,53.264,Now
54.32,102.0,it's
102.16,102.32,morning
102.48,102.64,and
102.8,102.96,the
103.12,103.52,phone
103.52,124.56,rings
124.56,124.56,and
124.56,124.56,you
124.56,124.56,say
124.56,124.56,you've
124.56,124.96,got
124.96,124.96,to
124.96,124.96,get
124.96,124.96,your
124.96,124.96,things
124.96,124.96,together
124.96,124.96,You
124.96,124.96,just
124.96,127.04,gotta
127.52,127.6,leave
127.68,127.76,before
127.84,128.08,you
128.1,128.12,change
128.14,128.16,your
128.16,128.64,mind
128.64,128.64,And
129.36,129.36,if
129.36,129.36,you
129.36,129.36,knew
129.36,129.36,what
129.36,129.36,I
129.36,129.36,was
129.36,129.36,thinking
129.36,129.36,girl
129.36,129.36,I'd
129.36,129.36,turn
129.36,129.36,around
129.36,129.36,If
129.36,130.16,you
130.16,133.68,would
133.815,133.95,just
134.086,134.221,ask
134.356,134.492,me
134.627,134.763,one
134.898,135.033,more
135.169,135.304,time
135.44,135.44,Don't
135.44,137.68,fall
137.68,137.68,in
137.68,137.68,love
139.2,139.58,with
139.96,140.34,a
140.72,140.72,dreamer
140.72,140.72,'cause
140.72,140.72,he'll
140.72,140.72,always
140.72,140.72,take
140.72,140.72,you
140.72,140.72,in
140.72,140.72,Just
140.72,140.72,when
140.72,140.72,you
140.72,140.72,think
140.72,140.72,you've
140.72,140.72,really
140.72,140.72,changed
140.72,140.72,him
140.72,140.72,he'll
140.72,140.72,leave
140.72,140.72,you
140.72,140.742,again
140.765,140.788,Don't
140.811,140.834,fall
140.857,140.88,in
140.88,142.4,love
142.4,142.88,with
142.88,142.88,a
142.88,142.88,dreamer
142.88,142.88,'cause
142.88,142.88,you
142.88,142.88,break
142.88,142.88,you
142.88,142.88,every
142.88,142.88,time
142.88,142.88,Oh
180.94,181.1,Put
181.18,181.34,out
181.34,181.66,the
181.66,183.18,light
183.18,183.18,and
183.18,183.42,just
183.58,184.38,hold
184.38,184.38,on
185.82,185.82,before
187.34,187.58,we
187.74,187.74,say
188.78,188.78,goodbye
189.18,191.78,Before
194.38,196.98,we
199.58,200.46,say
200.46,200.46,goodbye
200.46,200.46,Goodbye
