start,end,text
14.96,15.28,Every
15.28,15.68,now
16.6,17.52,and
18.44,19.36,then
20.28,21.2,when
21.2,21.28,the
21.28,21.28,world
23.52,24.304,steps
25.088,25.872,in
26.656,27.44,stealing
27.44,28.16,all
29.351,30.542,our
31.733,32.924,time
34.115,35.306,away
36.497,37.688,it
38.88,39.36,soon
39.36,41.28,takes
41.36,42.24,all
42.32,42.32,my
44.88,45.04,We
45.04,45.36,forget
45.36,47.44,to
47.52,47.6,touch
50.56,50.88,That's
50.96,51.12,when
51.12,52.8,I
53.44,53.84,know
53.92,53.92,it's
54.24,54.56,time
55.36,55.6,for
55.68,56.48,me
56.48,56.96,to
57.04,57.2,say
57.2,57.36,Take
57.36,61.912,my
66.464,71.016,hand
75.568,80.12,Let's
84.672,89.224,walk
93.776,98.328,through
102.88,102.88,love's
102.88,102.88,door
102.88,102.88,and
102.88,102.88,be
102.88,102.88,free
102.88,102.88,from
102.88,102.88,the
102.88,102.88,world
102.88,102.88,once
102.88,102.88,more
102.88,102.88,Use
102.88,102.88,my
102.88,102.88,heart
102.88,102.88,We
102.88,102.88,can
102.88,102.88,hide
102.88,102.88,today
102.88,102.88,and
102.88,102.88,love
102.88,102.88,the
102.88,102.88,world
102.88,102.88,away
102.88,102.88,Once
102.88,102.88,again
102.88,102.88,we'll
102.88,102.88,be
102.88,102.88,where
102.88,102.88,our
102.88,102.88,hearts
102.88,102.88,are
102.88,102.88,free
102.88,102.88,and
102.88,102.88,the
102.88,102.88,time
102.88,103.12,is
103.2,103.2,ours
103.2,103.2,to
103.2,103.2,share
103.2,103.2,Love
103.2,103.2,will
103.2,103.2,always
103.2,103.2,stay
103.2,103.2,just
103.2,103.2,let's
104.72,104.72,find
104.72,104.72,a
104.72,104.72,way
104.96,104.96,Come
105.04,105.04,with
105.04,105.04,me
105.04,105.04,All
105.16,105.28,the
105.4,105.52,magic's
105.52,105.608,waiting
105.696,105.784,there
105.872,105.96,Take
106.048,106.136,my
106.224,106.312,hand
106.4,106.72,Let's
106.72,106.96,walk
106.96,107.36,through
107.36,107.36,love's
107.36,107.36,door
107.36,107.36,and
107.36,107.36,be
107.36,107.36,free
107.36,107.36,from
107.36,107.36,the
107.36,107.36,world
107.36,107.36,once
107.36,107.36,more
107.36,107.36,Use
107.36,107.36,my
107.36,107.36,heart
107.36,107.36,We
107.36,107.44,can
107.44,107.44,hide
107.44,107.44,today
107.44,107.44,and
107.44,107.44,love
107.44,107.44,the
107.44,107.44,world
107.44,107.44,away
107.44,127.04,We
127.56,128.08,can
128.6,129.12,love
129.64,130.16,the
130.16,130.16,world
130.16,130.16,again
