start,end,text
11.12,11.12,All
11.12,11.28,my
11.44,11.76,life
11.76,12.16,was
12.16,12.24,a
12.24,13.12,page
13.32,13.52,once
13.72,13.92,plain
13.92,17.76,pure
17.76,18.0,and
18.08,18.72,white
18.83,18.94,Till
19.05,19.16,you
19.27,19.38,moved
19.49,19.6,with
20.624,21.648,your
22.672,23.696,pen
24.72,25.52,changing
25.52,25.84,moods
25.84,26.24,now
26.24,26.56,and
26.56,27.6,then
27.6,27.76,till
28.0,28.0,the
28.32,29.04,balance
29.04,29.36,was
29.44,30.0,right
30.0,30.96,Then
30.96,30.96,you
31.08,31.2,added
31.32,31.44,some
31.44,31.44,music
32.16,32.88,every
33.6,34.32,note
34.32,34.32,was
34.32,34.32,in
34.32,34.32,place
34.32,34.32,and
34.32,41.76,nobody
41.76,41.76,could
41.76,41.76,see
41.76,41.76,all
41.76,41.76,the
41.76,41.76,changes
41.76,41.76,in
41.76,41.76,me
41.76,41.76,by
41.76,41.76,the
41.76,41.76,look
41.76,41.873,on
41.986,42.1,my
42.213,42.326,face
42.44,42.553,And
42.666,42.78,you
42.893,43.006,decorated
43.12,43.12,my
43.12,43.12,life
43.12,43.12,created
43.12,43.12,a
43.12,43.12,world
43.2,43.2,where
43.2,43.2,dreams
43.2,43.2,are
43.2,43.2,a
43.2,43.2,part
43.2,43.2,Oh
43.28,43.36,and
43.44,43.52,you
44.4,44.4,decorated
44.4,44.4,my
44.46,44.52,life
44.58,44.64,by
44.7,44.76,painting
44.82,44.88,your
44.94,45.0,love
45.06,45.12,all
45.12,45.12,over
45.12,45.12,my
45.12,45.12,heart
45.12,45.12,You
45.12,45.12,decorated
45.12,45.12,my
45.12,45.12,life
45.12,45.12,like
45.12,45.12,a
45.12,45.12,rhyme
45.12,45.12,with
45.12,45.12,no
45.12,45.12,reason
45.12,45.12,an
45.12,45.12,unfinished
46.32,46.64,song
49.04,49.213,There
49.386,49.56,was
49.733,49.906,no
50.08,50.08,harmony
52.96,52.96,life
52.96,52.96,meant
53.44,53.44,nothing
53.44,53.44,to
53.44,53.44,me
53.44,53.44,until
53.44,53.44,you
54.64,54.64,came
54.64,54.64,along
54.64,54.64,And
54.64,54.64,you
54.64,54.64,brought
55.76,55.76,out
55.84,56.96,the
56.96,56.96,colors
56.96,56.96,what
56.96,56.96,a
56.96,56.96,gentle
56.96,56.96,surprise
56.96,56.96,Now
56.96,56.96,I'm
56.96,56.96,able
56.96,56.96,to
56.96,56.96,see
56.96,57.28,all
57.296,57.312,the
57.328,57.344,things
57.36,57.36,life
57.36,57.36,can
57.36,63.556,be
69.753,75.95,shining
82.147,88.344,soft
94.541,100.738,in
106.935,113.132,your
119.329,125.526,eyes
131.723,137.92,You
140.72,140.72,decorated
140.72,140.72,my
140.72,140.72,life
140.72,140.72,created
140.72,140.88,a
140.88,150.96,world
150.96,150.96,where
150.96,150.96,dreams
150.96,150.96,are
150.96,150.96,a
150.96,150.96,part
150.96,150.96,Oh
150.96,150.96,and
150.96,150.96,you
150.96,150.96,decorated
150.96,150.96,my
150.96,151.04,life
184.125,184.125,You
184.125,184.125,decorated
184.125,184.125,my
184.125,184.125,life
184.125,184.125,by
184.125,184.125,painting
184.125,184.125,your
184.125,184.125,love
184.125,184.125,all
184.125,184.125,over
184.125,184.125,my
184.125,184.125,heart
184.125,184.125,You
184.125,184.125,decorated
184.125,184.125,my
184.125,184.125,life
